instance p cost time
uf250-036.cnf 0.7 0 0.00628146
uf250-036.cnf 0.8 0 2.23282
uf250-036.cnf 0.9 21 20.0002
uf250-037.cnf 0.1 0 0.00938203
uf250-037.cnf 0.2 0 0.00586095
uf250-037.cnf 0.3 0 0.00460661
uf250-037.cnf 0.4 0 0.00252537
uf250-037.cnf 0.5 0 0.00236411
uf250-037.cnf 0.6 0 0.00283068
uf250-037.cnf 0.7 0 0.00289966
uf250-037.cnf 0.8 0 0.0770763
uf250-037.cnf 0.9 0 10.3522
uf250-038.cnf 0.1 0 1.15854
uf250-038.cnf 0.2 0 0.770949
uf250-038.cnf 0.3 0 0.406107
uf250-038.cnf 0.4 0 0.184313
uf250-038.cnf 0.5 0 0.0448906
uf250-038.cnf 0.6 0 0.0400038
uf250-038.cnf 0.7 0 0.453055
uf250-038.cnf 0.8 12 20.0002
uf250-038.cnf 0.9 15 20.0002
uf250-039.cnf 0.1 0 0.00723761
uf250-039.cnf 0.2 0 0.0295622
uf250-039.cnf 0.3 0 0.00452418
uf250-039.cnf 0.4 0 0.00574954
uf250-039.cnf 0.5 0 0.00592374
uf250-039.cnf 0.6 0 0.00300325
uf250-039.cnf 0.7 0 0.00411437
uf250-039.cnf 0.8 0 0.0175394
uf250-039.cnf 0.9 15 20.0002
uf250-04.cnf 0.1 0 0.170871
uf250-04.cnf 0.2 0 0.0071605
uf250-04.cnf 0.3 0 0.00523213
uf250-04.cnf 0.4 0 0.00393321
uf250-04.cnf 0.5 0 0.00314092
uf250-04.cnf 0.6 0 0.00476742
uf250-04.cnf 0.7 0 0.00259494
uf250-04.cnf 0.8 0 0.00366875
uf250-04.cnf 0.9 0 1.32702
uf250-040.cnf 0.1 0 0.301073
uf250-040.cnf 0.2 0 0.18066
uf250-040.cnf 0.3 0 0.151
uf250-040.cnf 0.4 0 0.00928091
uf250-040.cnf 0.5 0 0.00267418
uf250-040.cnf 0.6 0 0.00384008
uf250-040.cnf 0.7 0 0.00741107
uf250-040.cnf 0.8 0 1.06384
uf250-040.cnf 0.9 18 20.0003
uf250-041.cnf 0.1 0 0.386253
uf250-041.cnf 0.2 0 0.276829
