instance it g initsat
uf250-032.cnf 1 2000 86.4789
uf250-032.cnf 1 2000 88.6385
uf250-032.cnf 1 2000 89.2019
uf250-032.cnf 1 2000 87.3239
uf250-033.cnf 0 2000 86.5728
uf250-033.cnf 0 2000 86.8545
uf250-033.cnf 0 2000 86.5728
uf250-033.cnf 0 2000 87.4178
uf250-033.cnf 1 2000 88.2629
uf250-033.cnf 1 2000 86.7606
uf250-033.cnf 1 2000 87.4178
uf250-033.cnf 1 2000 88.4507
uf250-034.cnf 0 2000 85.446
uf250-034.cnf 0 2000 87.4178
uf250-034.cnf 0 2000 87.23
uf250-034.cnf 0 2000 86.7606
uf250-034.cnf 1 2000 87.9812
uf250-034.cnf 1 2000 87.9812
uf250-034.cnf 1 2000 89.2958
uf250-034.cnf 1 2000 88.4507
uf250-035.cnf 0 2000 85.7277
uf250-035.cnf 0 2000 87.9812
uf250-035.cnf 0 2000 88.169
uf250-035.cnf 0 2000 87.1361
uf250-035.cnf 1 2000 88.2629
uf250-035.cnf 1 2000 87.23
uf250-035.cnf 1 2000 87.1361
uf250-035.cnf 1 2000 88.5446
uf250-036.cnf 0 2000 88.3568
uf250-036.cnf 0 2000 85.8216
uf250-036.cnf 0 2000 85.9155
uf250-036.cnf 0 2000 88.0751
uf250-036.cnf 1 2000 88.8263
uf250-036.cnf 1 2000 89.5775
uf250-036.cnf 1 2000 86.5728
uf250-036.cnf 1 2000 86.7606
uf250-037.cnf 0 2000 88.5446
uf250-037.cnf 0 2000 86.1972
uf250-037.cnf 0 2000 86.7606
uf250-037.cnf 0 2000 87.4178
uf250-037.cnf 1 2000 89.8592
uf250-037.cnf 1 2000 88.2629
uf250-037.cnf 1 2000 90.2347
uf250-037.cnf 1 2000 90.5164
uf250-038.cnf 0 2000 87.0423
uf250-038.cnf 0 2000 88.9202
uf250-038.cnf 0 2000 87.6056
uf250-038.cnf 0 2000 86.7606
uf250-038.cnf 1 2000 88.3568
uf250-038.cnf 1 2000 87.0423
uf250-038.cnf 1 2000 88.9202
uf250-038.cnf 1 2000 87.23
uf250-039.cnf 0 2000 85.5399
uf250-039.cnf 0 2000 88.5446
uf250-039.cnf 0 2000 87.4178
uf250-039.cnf 0 2000 87.8873
uf250-039.cnf 1 2000 88.169
uf250-039.cnf 1 2000 87.9812
uf250-039.cnf 1 2000 86.5728
uf250-039.cnf 1 2000 87.23
uf250-04.cnf 0 2000 88.169
uf250-04.cnf 0 2000 88.169
uf250-04.cnf 0 2000 89.2958
uf250-04.cnf 0 2000 86.9484
uf250-04.cnf 1 2000 87.3239
uf250-04.cnf 1 2000 88.2629
uf250-04.cnf 1 2000 87.4178
uf250-04.cnf 1 2000 87.6995
uf250-040.cnf 0 2000 88.7324
uf250-040.cnf 0 2000 88.8263
uf250-040.cnf 0 2000 86.4789
uf250-040.cnf 0 2000 86.5728
uf250-040.cnf 1 2000 86.385
uf250-040.cnf 1 2000 87.3239
uf250-040.cnf 1 2000 86.8545
uf250-040.cnf 1 2000 85.7277
uf250-041.cnf 0 2000 86.7606
uf250-041.cnf 0 2000 88.3568
uf250-041.cnf 0 2000 87.9812
uf250-041.cnf 0 2000 86.0094
uf250-041.cnf 1 2000 86.6667
uf250-041.cnf 1 2000 88.4507
uf250-041.cnf 1 2000 87.6995
uf250-041.cnf 1 2000 88.4507
uf250-042.cnf 0 2000 88.4507
uf250-042.cnf 0 2000 87.6056
uf250-042.cnf 0 2000 89.0141
uf250-042.cnf 0 2000 87.6995
uf250-042.cnf 1 2000 87.8873
uf250-042.cnf 1 2000 86.5728
uf250-042.cnf 1 2000 88.0751
uf250-042.cnf 1 2000 89.4836
uf250-043.cnf 0 2000 88.5446
uf250-043.cnf 0 2000 88.4507
uf250-043.cnf 0 2000 86.2911
uf250-043.cnf 0 2000 85.3521
uf250-043.cnf 1 2000 87.3239
uf250-043.cnf 1 2000 87.0423
uf250-043.cnf 1 2000 88.3568
uf250-043.cnf 1 2000 88.8263
uf250-044.cnf 0 2000 88.4507
uf250-044.cnf 0 2000 86.4789
uf250-044.cnf 0 2000 89.3897
uf250-044.cnf 0 2000 88.0751
uf250-044.cnf 1 2000 88.6385
uf250-044.cnf 1 2000 88.169
uf250-044.cnf 1 2000 89.4836
uf250-044.cnf 1 2000 88.169
uf250-045.cnf 0 2000 87.7934
uf250-045.cnf 0 2000 88.2629
uf250-045.cnf 0 2000 87.4178
uf250-045.cnf 0 2000 86.4789
uf250-045.cnf 1 2000 86.6667
uf250-045.cnf 1 2000 86.2911
uf250-045.cnf 1 2000 86.385
uf250-045.cnf 1 2000 87.5117
uf250-046.cnf 0 2000 88.7324
uf250-046.cnf 0 2000 87.3239
uf250-046.cnf 0 2000 86.5728
uf250-046.cnf 0 2000 88.2629
uf250-046.cnf 1 2000 87.7934
uf250-046.cnf 1 2000 88.9202
uf250-046.cnf 1 2000 86.9484
uf250-046.cnf 1 2000 87.0423
uf250-047.cnf 0 2000 88.2629
uf250-047.cnf 0 2000 85.8216
uf250-047.cnf 0 2000 88.5446
uf250-047.cnf 0 2000 87.6995
uf250-047.cnf 1 2000 89.2958
uf250-047.cnf 1 2000 88.5446
uf250-047.cnf 1 2000 87.0423
uf250-047.cnf 1 2000 87.7934
uf250-048.cnf 0 2000 87.7934
uf250-048.cnf 0 2000 88.169
uf250-048.cnf 0 2000 87.5117
uf250-048.cnf 0 2000 87.9812
uf250-048.cnf 1 2000 86.7606
uf250-048.cnf 1 2000 87.5117
uf250-048.cnf 1 2000 87.6995
uf250-048.cnf 1 2000 88.4507
uf250-049.cnf 0 2000 86.385
uf250-049.cnf 0 2000 86.385
uf250-049.cnf 0 2000 86.9484
uf250-049.cnf 0 2000 89.2958
uf250-049.cnf 1 2000 87.8873
uf250-049.cnf 1 2000 89.7653
uf250-049.cnf 1 2000 89.2019
uf250-049.cnf 1 2000 88.6385
uf250-05.cnf 0 2000 86.7606
uf250-05.cnf 0 2000 88.169
