instance p cost time
uuf250-041.cnf 0.1 1 0.459854
uuf250-041.cnf 0.2 1 0.0304595
uuf250-041.cnf 0.3 1 0.0224166
uuf250-041.cnf 0.4 1 0.0129578
uuf250-041.cnf 0.5 1 0.00894188
uuf250-041.cnf 0.6 1 0.0024756
uuf250-041.cnf 0.7 1 0.00393066
uuf250-041.cnf 0.8 1 6.63286
uuf250-041.cnf 0.9 21 20.0002
uuf250-042.cnf 0.1 1 0.44635
uuf250-042.cnf 0.2 1 0.00996904
uuf250-042.cnf 0.3 1 0.0134918
uuf250-042.cnf 0.4 1 0.00581615
uuf250-042.cnf 0.5 1 0.0271703
uuf250-042.cnf 0.6 1 0.00584414
uuf250-042.cnf 0.7 1 0.0967055
uuf250-042.cnf 0.8 1 6.03652
uuf250-042.cnf 0.9 15 20.0002
uuf250-043.cnf 0.1 1 1.1102
uuf250-043.cnf 0.2 1 0.0864808
uuf250-043.cnf 0.3 1 0.0306091
uuf250-043.cnf 0.4 1 0.137029
uuf250-043.cnf 0.5 1 0.00740476
uuf250-043.cnf 0.6 1 0.0033303
uuf250-043.cnf 0.7 1 2.52437
uuf250-043.cnf 0.8 10 20.0002
uuf250-043.cnf 0.9 22 20.0002
uuf250-044.cnf 0.1 1 0.993106
uuf250-044.cnf 0.2 1 0.131342
uuf250-044.cnf 0.3 1 0.0820355
uuf250-044.cnf 0.4 1 0.0116746
uuf250-044.cnf 0.5 1 0.0179525
uuf250-044.cnf 0.6 1 0.00257563
uuf250-044.cnf 0.7 1 0.329873
uuf250-044.cnf 0.8 11 20.0003
uuf250-044.cnf 0.9 21 20.0003
uuf250-045.cnf 0.1 1 0.0939345
uuf250-045.cnf 0.2 1 0.00920835
uuf250-045.cnf 0.3 1 0.011732
uuf250-045.cnf 0.4 1 0.0215351
uuf250-045.cnf 0.5 1 0.00464971
uuf250-045.cnf 0.6 1 0.00275981
uuf250-045.cnf 0.7 1 0.0233926
uuf250-045.cnf 0.8 1 0.435847
uuf250-045.cnf 0.9 17 20.0003
uuf250-046.cnf 0.1 1 1.27086
uuf250-046.cnf 0.2 1 0.0700044
uuf250-046.cnf 0.3 1 0.0151662
uuf250-046.cnf 0.4 1 0.0648247
uuf250-046.cnf 0.5 1 0.0261097
uuf250-046.cnf 0.6 1 0.00327876
uuf250-046.cnf 0.7 1 0.277478
uuf250-046.cnf 0.8 1 6.52737
uuf250-046.cnf 0.9 21 20.0002
uuf250-047.cnf 0.1 1 1.80496
uuf250-047.cnf 0.2 1 0.014538
uuf250-047.cnf 0.3 1 0.0655973
uuf250-047.cnf 0.4 1 0.027265
uuf250-047.cnf 0.5 1 0.00577713
uuf250-047.cnf 0.6 1 0.00413201
uuf250-047.cnf 0.7 1 0.0645247
uuf250-047.cnf 0.8 14 20.0003
uuf250-047.cnf 0.9 25 20.0002
uuf250-048.cnf 0.1 1 0.401988
uuf250-048.cnf 0.2 1 0.103758
uuf250-048.cnf 0.3 1 0.036005
